ts_code,name,industry,bucket,subgroup,priority,trade_date_verified,selection_reason
600036.SH,招商银行,银行,金融,银行,P0,2026-03-20,银行代表样本且已用于EV/EBITDA边界验证
601398.SH,工商银行,银行,金融,银行,P1,2026-03-20,大行代表样本用于金融模板与PB路径验证
600030.SH,中信证券,证券,金融,券商,P0,2026-03-20,券商代表样本用于非银金融估值路径验证
601318.SH,中国平安,保险,金融,保险,P1,2026-03-20,保险代表样本用于金融子行业覆盖
600519.SH,贵州茅台,白酒,消费,白酒,P0,2026-03-20,消费龙头样本用于高ROE高估值场景验证
000858.SZ,五粮液,白酒,消费,白酒,P1,2026-03-20,白酒次龙头用于消费行业横向对比
600887.SH,伊利股份,乳制品,消费,食品饮料,P1,2026-03-20,食品饮料样本用于非白酒消费覆盖
000651.SZ,格力电器,家用电器,消费,家电,P1,2026-03-20,家电样本用于制造消费交叉场景覆盖
300750.SZ,宁德时代,电气设备,新能源,动力电池,P0,2026-03-20,新能源核心样本用于高成长估值验证
601012.SH,隆基绿能,电气设备,新能源,光伏设备,P1,2026-03-20,光伏龙头样本用于新能源设备覆盖
002594.SZ,比亚迪,汽车整车,制造,汽车整车,P0,2026-03-20,汽车整车龙头用于整车与新能源交叉验证
000625.SZ,长安汽车,汽车整车,制造,汽车整车,P1,2026-03-20,整车第二样本用于行业内差异比对
300124.SZ,汇川技术,电器仪表,制造,自动化设备,P1,2026-03-20,工业自动化代表样本
600031.SH,三一重工,工程机械,制造,工程机械,P1,2026-03-20,机械设备代表样本
601390.SH,中国中铁,建筑工程,制造,基建工程,P1,2026-03-20,建筑工程央企样本
601668.SH,中国建筑,建筑工程,制造,基建工程,P1,2026-03-20,建筑工程第二样本用于行业稳定性验证
688981.SH,中芯国际,半导体,科技,半导体,P0,2026-03-20,半导体晶圆制造代表样本
603986.SH,兆易创新,半导体,科技,半导体,P1,2026-03-20,半导体设计代表样本
002371.SZ,北方华创,半导体,科技,半导体设备,P0,2026-03-20,半导体设备代表样本
688002.SH,睿创微纳,通信设备,科技,红外与军工电子,P0,2026-03-20,已完成新旧口径对齐的核心回归样本
002415.SZ,海康威视,IT设备,科技,计算机设备,P1,2026-03-20,计算机设备代表样本用于business match次行业验证
002475.SZ,立讯精密,元器件,科技,消费电子,P1,2026-03-20,电子元器件代表样本
600050.SH,中国联通,电信运营,科技,通信运营,P1,2026-03-20,通信运营代表样本
600941.SH,中国移动,电信运营,科技,通信运营,P1,2026-03-20,通信运营第二样本用于稳定性对比
600276.SH,恒瑞医药,化学制药,医药,化学制药,P0,2026-03-20,医药龙头样本用于研发型企业估值验证
300015.SZ,爱尔眼科,医疗保健,医药,医疗服务,P1,2026-03-20,医疗服务代表样本
600309.SH,万华化学,化工原料,周期,化工,P0,2026-03-20,周期制造代表样本
601899.SH,紫金矿业,铜,周期,有色金属,P1,2026-03-20,资源股代表样本
600938.SH,中国海油,石油开采,周期,能源开采,P1,2026-03-20,上游能源代表样本
600795.SH,国电电力,火力发电,公用事业,火电,P1,2026-03-20,公用事业代表样本
600905.SH,三峡能源,新型电力,公用事业,新能源电力,P1,2026-03-20,新能源电力代表样本
600009.SH,上海机场,机场,交通,机场,P1,2026-03-20,交通运输样本用于低利润波动场景覆盖
601111.SH,中国国航,空运,交通,航空,P1,2026-03-20,航空运输代表样本
600233.SH,圆通速递,仓储物流,交通,物流,P1,2026-03-20,物流代表样本
600760.SH,中航沈飞,航空,军工,航空装备,P1,2026-03-20,军工代表样本用于高景气行业验证
