step_id,domain,check_item,new_project,legacy_project,parity_status,gap_level,evidence,impact,recommendation
1,template,template_loader_entry,StandaloneValuationConfig in valuation_api/valuation_config.py,ValuationConfig in prediction/services/validation_loader.py,PARTIAL,LOW,Both use SW-first then fallback style but module names and wrappers differ,Low runtime risk,Keep a parity test for resolve order and source labels
2,template,template_resolution_order,SW by ts_code -> profile industry legacy -> global defaults,SW by ts_code -> legacy mapping/global defaults,ALIGNED,LOW,CLI and config code paths show same effective order for normal flow,Low,No immediate change needed
3,template,method_weight_injection,Config-driven method weights injected and weighted row persisted,No equivalent weighted row in core estmktv output,GAP,MEDIUM,New has valuation_method_weights_CN.json and weighted valuation persistence,Behavioral delta in downstream analytics,Decide whether legacy side should ignore or consume weighted method explicitly
4,industry_match,business_text_source,CompanyProfile DB only,CorporationBasic DB with Tushare stock_company fallback,GAP,MEDIUM,New matcher get_business_profile lacks stock_company fallback while legacy has it,Possible score drift when local profile fields are empty,Add optional stock_company fallback behind feature flag
5,industry_match,citic_profile_source,DB citic fields then Tushare ci_index_member fallback,Tushare ci_index_member fallback,ALIGNED,LOW,Recent fix added ci_index_member fallback in new matcher,Low for covered tokens,Keep regression case for 688002.SH
6,industry_match,business_match_score_parity_688002,Top2 match_score: 52.1625 and 10.08,Top2 match_score: 52.1625 and 10.08,ALIGNED,LOW,Runtime command outputs match on 2026-03-20 sample,Low,Include as smoke check in CI/nightly
7,industry_match,fallback_decision_logic,Matcher-managed fallback thresholds with profile-aware overrides,Command-managed fallback thresholds loaded from same config,PARTIAL,LOW,Logic equivalent but implementation location differs,Low maintainability risk,Document single source of truth and keep config parity tests
8,valuation_method,method_coverage,market_cap pe ps pb peg ev_ebitda fcff_dcf ddm,market_cap pe ps pb peg ev_ebitda fcff_dcf ddm,ALIGNED,LOW,Both codebases implement same method set,Low,No change
9,valuation_method,peg_stability_rules,Clamped growth and target PE with quality flags,Clamped growth and target PE with quality flags,ALIGNED,LOW,Both implement bounded PEG path and skip semantics,Low,No change
10,valuation_method,bank_ev_ebitda_behavior,Auto-switches scenario model from ev_ebitda to pb with diagnostics,Can crash under ev_ebitda scenario when target multiple missing,GAP,MEDIUM,600036.SH runtime: new succeeds with switch; legacy throws TypeError in scenario path,Operational reliability gap,Backport bank guard or enforce explicit target in legacy
11,data_source,snapshot_primary_source,Local trading/fundamental/express tables plus optional Tushare financial fallback,Tushare live pull as primary,PARTIAL,HIGH,Architectural shift from live-source to local-first source in new project,Potential valuation drift due data freshness and ETL lag,Define SLA for ETL freshness and add stale-data detector
12,persistence,snapshot_table_shape,ValuationSnapshot and ValuationSnapshotLatest include variant and reporting fields,StockValuationSnapshot and Latest include similar variant and reporting fields,ALIGNED,LOW,Model fields and uniqueness keys are effectively aligned,Low,No change
13,persistence,numeric_storage_type,valuation_price and valuation_market_cap stored as FloatField,Stored as DecimalField,GAP,MEDIUM,Model definitions differ on numeric precision type,Possible rounding drift in audits or joins,Consider DecimalField migration for monetary columns
14,migration,historical_snapshot_import,migratestockdata imports history and latest snapshot tables,Legacy owns source-of-truth snapshot tables,PARTIAL,MEDIUM,Import path exists but parity depends on migration execution discipline,Data continuity risk if migration not rerun,Add migration completeness checklist and row-count validator
15,cli,argument_compatibility,Supports --trade-date and --trade_date aliases,Uses --trade_date only,GAP,LOW,Runtime invocation mismatch observed immediately on old command,Low but annoying operator friction,Add alias in legacy or unify runbook commands
16,observability,profit_source_diagnostics,--show-profit-source prints base->effective transitions and express reasons,--show-profit-source prints core source diagnostics,PARTIAL,LOW,New exposes more detailed diagnostics fields,Low,Optionally extend legacy output for uniform troubleshooting
17,api,full_valuation_endpoint_contract,GET/POST mixed input parsing and resolved_params echo,Legacy relies mainly command/service path not same endpoint contract,GAP,LOW,New API contract is broader than legacy CLI-focused behavior,Integration delta for clients,Publish contract doc and version endpoint behaviors
18,overall,readiness_summary,Core valuation flow is mostly aligned with targeted improvements,Legacy remains baseline for historical behavior,PARTIAL,MEDIUM,Main remaining gaps: data-source architecture, business text fallback, numeric precision, and EV/EBITDA bank handling,Migration gate should include focused non-regression suite,Run multi-sample parity on at least 30 tickers across sectors before cutover
