exec_step,phase,gate_id,step_name,step_type,run_command,pass_criteria,evidence_output,owner,status
1,prepare,G00,确认Python环境,auto,"Set-Location c:/Users/HANJ29/Development/code/sms; c:/Users/HANJ29/Development/vdev1/Scripts/python.exe --version",命令正常返回且版本为3.10.x,reports/exec_logs/step01_python_version.txt,平台,TODO
2,prepare,G00,确认新项目Django可运行,auto,"Set-Location c:/Users/HANJ29/Development/code/sms/valuation_service_django; c:/Users/HANJ29/Development/vdev1/Scripts/python.exe manage.py check",System check completed且无阻塞错误,reports/exec_logs/step02_new_check.txt,平台,TODO
3,prepare,G00,确认老项目Django可运行,auto,"Set-Location c:/Users/HANJ29/Development/code/sms/smartinvestor_be; c:/Users/HANJ29/Development/vdev1/Scripts/python.exe manage.py check",System check completed且无阻塞错误,reports/exec_logs/step03_old_check.txt,平台,TODO
4,template,G01,模板顺序对齐样本A运行-新,auto,"Set-Location c:/Users/HANJ29/Development/code/sms/valuation_service_django; c:/Users/HANJ29/Development/vdev1/Scripts/python.exe manage.py estmktv --tscode 688002.SH --trade-date 2026-03-20 --show-source",输出包含source/source_level/source_industry_code,reports/exec_logs/step04_new_template_688002.txt,估值研发,TODO
5,template,G01,模板顺序对齐样本A运行-老,auto,"Set-Location c:/Users/HANJ29/Development/code/sms/smartinvestor_be; c:/Users/HANJ29/Development/vdev1/Scripts/python.exe manage.py estmktv --tscode 688002.SH --trade_date 2026-03-20 --show-source",输出包含source及对应行业信息,reports/exec_logs/step05_old_template_688002.txt,估值研发,TODO
6,template,G01,模板顺序对齐比对,manual,"对比 step04/step05 的 source、industry_code、scenario_model",同样本下模板来源链路一致或差异有书面说明,reports/template_parity_diff_20260322.csv,估值研发,TODO
7,industry_match,G02,business_topn样本A-新,auto,"Set-Location c:/Users/HANJ29/Development/code/sms/valuation_service_django; c:/Users/HANJ29/Development/vdev1/Scripts/python.exe manage.py estmktv --tscode 688002.SH --trade-date 2026-03-20 --match-business-industries --business-match-level L2 --business-topn 3 --show-source",输出3条business_match/baseline并含match_score,reports/exec_logs/step07_new_topn_688002.txt,估值研发,TODO
8,industry_match,G02,business_topn样本A-老,auto,"Set-Location c:/Users/HANJ29/Development/code/sms/smartinvestor_be; c:/Users/HANJ29/Development/vdev1/Scripts/python.exe manage.py estmktv --tscode 688002.SH --trade_date 2026-03-20 --match-business-industries --business-match-level L2 --business-topn 3 --show-source",输出3条business_match/baseline并含match_score,reports/exec_logs/step08_old_topn_688002.txt,估值研发,TODO
9,industry_match,G02,multi-sample列表准备,manual,"准备至少30只股票样本，覆盖银行/半导体/消费/周期/医药",样本清单>=30且行业覆盖达标,reports/sample_pool_30plus_20260322.csv,数据,TODO
10,industry_match,G02,multi-sample批量对比执行,auto,"按 sample_pool 逐只运行新旧 estmktv business_topn=3 并收集match_score",TopN行业及分数差异<=0.01的通过率>=95%,reports/business_match_parity_30plus_20260322.csv,估值研发,TODO
